Orderid,Orderdate,Priority,Returned,Customerid
CA-2015-AB10105140-42328,42328,Medium,No,AB-101051408
CA-2015-AB10150140-42252,42252,Medium,No,AB-101501406
CA-2015-AB10150140-42328,42328,Medium,No,AB-101501402
CA-2015-AB10165140-42094,42094,Medium,No,AB-101651404
CA-2015-AB10165140-42109,42109,Medium,No,AB-101651406
CA-2015-AB10165140-42263,42263,Medium,No,AB-101651408
CA-2015-AB10165140-42344,42344,Medium,No,AB-101651404
CA-2015-AB10255140-42158,42158,Medium,No,AB-102551406
CA-2015-AB10255140-42172,42172,High,No,AB-102551404
CA-2015-AB10255140-42203,42203,Medium,No,AB-102551404
CA-2015-AB10523-42139,42139,High,No,AB-10523
CA-2015-AB25523-42326,42326,Medium,No,AB-25523
CA-2015-AC10450140-42281,42281,Medium,No,AC-104501402
CA-2015-AC10450140-42358,42358,High,No,AC-104501408
CA-2015-AC10615140-42059,42059,Low,No,AC-106151404
CA-2015-AC10615140-42088,42088,Medium,No,AC-106151402
CA-2015-AC10615140-42250,42250,High,No,AC-106151406
CA-2015-AC10615140-42363,42363,High,No,AC-106151406
CA-2015-AC10660140-42087,42087,High,No,AC-106601402
CA-2015-AD10180140-42027,42027,Medium,No,AD-101801404
CA-2015-AD10180140-42322,42322,Medium,No,AD-101801406
CA-2015-AD10180140-42340,42340,Medium,Yes,AD-101801406
CA-2015-AF10870140-42119,42119,Medium,No,AF-108701402
CA-2015-AF10870140-42327,42327,Medium,No,AF-108701408
CA-2015-AG10270140-42091,42091,High,No,AG-102701406
CA-2015-AG10300140-42251,42251,High,No,AG-103001404
CA-2015-AG10330140-42349,42349,Medium,No,AG-103301404
CA-2015-AG10330140-42357,42357,Medium,No,AG-103301408
CA-2015-AG10330140-42361,42361,Medium,No,AG-103301402
CA-2015-AG10390140-42255,42255,Medium,No,AG-103901404
CA-2015-AG10495140-42291,42291,High,No,AG-104951406
CA-2015-AG10675140-42215,42215,High,No,AG-106751408
CA-2015-AG10675140-42272,42272,High,Yes,AG-106751408
CA-2015-AG10765140-42292,42292,Medium,No,AG-107651402
CA-2015-AG10900140-42126,42126,High,Yes,AG-109001408
CA-2015-AG10900140-42251,42251,High,No,AG-109001402
CA-2015-AG10900140-42273,42273,High,No,AG-109001408
CA-2015-AG49523-42073,42073,Medium,No,AG-49523
CA-2015-AG49523-42321,42321,High,No,AG-49523
CA-2015-AH10030140-42357,42357,Medium,No,AH-100301406
CA-2015-AH10075140-42110,42110,Medium,No,AH-100751404
CA-2015-AH10075140-42144,42144,Medium,No,AH-100751408
CA-2015-AH10075140-42273,42273,Medium,No,AH-100751406
CA-2015-AH10075140-42301,42301,Critical,No,AH-100751406
CA-2015-AH10075140-42335,42335,Medium,No,AH-100751408
CA-2015-AH1007523-42101,42101,High,No,AH-1007523
CA-2015-AH10120140-42103,42103,High,No,AH-101201404
CA-2015-AH10120140-42188,42188,Medium,No,AH-101201402
CA-2015-AH10120140-42234,42234,Low,No,AH-101201408
CA-2015-AH10120140-42309,42309,Medium,No,AH-101201402
CA-2015-AH10195140-42241,42241,Medium,No,AH-101951406
CA-2015-AH10195140-42314,42314,Critical,No,AH-101951402
CA-2015-AH10210140-42072,42072,Medium,No,AH-102101404
CA-2015-AH10210140-42250,42250,Medium,No,AH-102101408
CA-2015-AH10210140-42332,42332,High,No,AH-102101402
CA-2015-AH10210140-42363,42363,Low,No,AH-102101404
CA-2015-AH10465140-42097,42097,High,No,AH-104651408
CA-2015-AH10465140-42139,42139,High,No,AH-104651406
CA-2015-AH10585140-42348,42348,Medium,No,AH-105851402
CA-2015-AI10855140-42130,42130,Medium,No,AI-108551406
CA-2015-AI10855140-42257,42257,Medium,No,AI-108551404
CA-2015-AI10855140-42356,42356,Medium,No,AI-108551408
CA-2015-AJ10780140-42294,42294,High,No,AJ-107801404
CA-2015-AJ10795140-42203,42203,High,No,AJ-107951404
CA-2015-AJ10945140-42248,42248,Medium,Yes,AJ-109451402
CA-2015-AJ10945140-42284,42284,Medium,No,AJ-109451404
CA-2015-AJ10960140-42295,42295,Medium,No,AJ-109601404
CA-2015-AM10360140-42153,42153,High,No,AM-103601406
CA-2015-AM10360140-42341,42341,High,No,AM-103601404
CA-2015-AM10705140-42099,42099,Medium,No,AM-107051402
CA-2015-AM10705140-42207,42207,Medium,No,AM-107051408
CA-2015-AO81023-42028,42028,Medium,No,AO-81023
CA-2015-AP10720140-42328,42328,High,No,AP-107201406
CA-2015-AP10915140-42122,42122,High,No,AP-109151404
CA-2015-AP10915140-42251,42251,High,No,AP-109151408
CA-2015-AR10345140-42256,42256,Medium,No,AR-103451402
CA-2015-AR10345140-42258,42258,Medium,No,AR-103451406
CA-2015-AR10405140-42145,42145,High,No,AR-104051402
CA-2015-AR10405140-42175,42175,High,No,AR-104051406
CA-2015-AR10510140-42355,42355,High,No,AR-105101402
CA-2015-AR10540140-42021,42021,High,No,AR-105401402
CA-2015-AR10540140-42363,42363,Medium,No,AR-105401406
CA-2015-AR10825140-42207,42207,High,No,AR-108251404
CA-2015-AR10825140-42311,42311,Medium,No,AR-108251406
CA-2015-AS10045140-42007,42007,High,No,AS-100451408
CA-2015-AS10045140-42218,42218,Medium,No,AS-100451402
CA-2015-AS10045140-42281,42281,Medium,No,AS-100451404
CA-2015-AS10090140-42096,42096,High,No,AS-100901402
CA-2015-AS10090140-42264,42264,Critical,No,AS-100901406
CA-2015-AS10135140-42328,42328,Medium,No,AS-101351406
CA-2015-AS10225140-42265,42265,Medium,No,AS-102251404
CA-2015-AS10225140-42347,42347,High,No,AS-102251404
CA-2015-AS10240140-42177,42177,Medium,No,AS-102401406
CA-2015-AS10285140-42350,42350,Medium,No,AS-102851402
CA-2015-AS10630140-42125,42125,Medium,No,AS-106301408
CA-2015-AS10630140-42277,42277,Medium,No,AS-106301402
CA-2015-AT10435140-42097,42097,Medium,No,AT-104351406
CA-2015-AT10435140-42348,42348,Medium,No,AT-104351404
CA-2015-AT10735140-42144,42144,High,No,AT-107351404
CA-2015-AT10735140-42193,42193,Medium,No,AT-107351404
CA-2015-AT10735140-42218,42218,Critical,No,AT-107351402
CA-2015-AT10735140-42356,42356,Medium,No,AT-107351406
CA-2015-AW10840140-42250,42250,Low,No,AW-108401404
CA-2015-AW10840140-42349,42349,Critical,No,AW-108401406
CA-2015-AW10930140-42248,42248,Medium,No,AW-109301404
CA-2015-AY10555140-42355,42355,High,No,AY-105551404
CA-2015-AZ10750140-42209,42209,High,No,AZ-107501402
CA-2015-BB10990140-42264,42264,High,No,BB-109901404
CA-2015-BB11545140-42263,42263,High,No,BB-115451402
CA-2015-BB11545140-42320,42320,High,No,BB-115451408
CA-2015-BB11545140-42341,42341,High,No,BB-115451404
CA-2015-BC11125140-42144,42144,Medium,No,BC-111251404
CA-2015-BD11320140-42107,42107,Critical,No,BD-113201406
CA-2015-BD11320140-42166,42166,Medium,No,BD-113201404
CA-2015-BD11320140-42271,42271,Medium,No,BD-113201402
CA-2015-BD11320140-42336,42336,High,No,BD-113201404
CA-2015-BD11560140-42091,42091,High,No,BD-115601404
CA-2015-BD11605140-42272,42272,High,No,BD-116051408
CA-2015-BD11620140-42005,42005,Medium,No,BD-116201404
CA-2015-BD11620140-42300,42300,High,No,BD-116201402
CA-2015-BD11635140-42360,42360,Critical,No,BD-116351408
CA-2015-BD11725140-42117,42117,Medium,No,BD-117251408
CA-2015-BD11725140-42155,42155,Medium,No,BD-117251408
CA-2015-BD11725140-42220,42220,Medium,No,BD-117251404
CA-2015-BD11725140-42276,42276,Medium,Yes,BD-117251404
CA-2015-BD11770140-42034,42034,Medium,No,BD-117701406
CA-2015-BD11770140-42042,42042,Medium,No,BD-117701406
CA-2015-BE11335140-42087,42087,High,No,BE-113351404
CA-2015-BE11335140-42250,42250,Medium,No,BE-113351402
CA-2015-BE11410140-42026,42026,High,No,BE-114101402
CA-2015-BE11410140-42271,42271,Medium,No,BE-114101408
CA-2015-BF11005140-42330,42330,Medium,No,BF-110051404
CA-2015-BF11020140-42096,42096,Medium,No,BF-110201408
CA-2015-BF11020140-42266,42266,Medium,No,BF-110201402
CA-2015-BF11020140-42295,42295,High,No,BF-110201404
CA-2015-BF11080140-42260,42260,Medium,No,BF-110801406
CA-2015-BF11080140-42344,42344,High,No,BF-110801406
CA-2015-BF11170140-42353,42353,High,No,BF-111701406
CA-2015-BF11215140-42077,42077,Medium,No,BF-112151404
CA-2015-BF11215140-42304,42304,Medium,No,BF-112151402
CA-2015-BF11275140-42196,42196,High,No,BF-112751408
CA-2015-BF11275140-42312,42312,Medium,No,BF-112751408
CA-2015-BG11035140-42248,42248,Medium,No,BG-110351408
CA-2015-BG11035140-42311,42311,Medium,No,BG-110351408
CA-2015-BG11035140-42341,42341,Medium,No,BG-110351408
CA-2015-BG11695140-42271,42271,Medium,No,BG-116951404
CA-2015-BG11695140-42333,42333,Critical,No,BG-116951402
CA-2015-BG11740140-42112,42112,High,No,BG-117401406
CA-2015-BG11740140-42312,42312,Medium,No,BG-117401404
CA-2015-BH11710140-42019,42019,Medium,No,BH-117101408
CA-2015-BH11710140-42143,42143,High,No,BH-117101406
CA-2015-BH11710140-42346,42346,High,Yes,BH-117101408
CA-2015-BK11260140-42270,42270,Medium,No,BK-112601404
CA-2015-BK11260140-42292,42292,High,No,BK-112601404
CA-2015-BM11140140-42062,42062,Medium,No,BM-111401404
CA-2015-BM11575140-42143,42143,Medium,No,BM-115751402
CA-2015-BM11575140-42269,42269,Critical,No,BM-115751404
CA-2015-BM11650140-42088,42088,Medium,No,BM-116501406
CA-2015-BM11650140-42138,42138,Medium,No,BM-116501402
CA-2015-BM11650140-42318,42318,Critical,No,BM-116501406
CA-2015-BM11650140-42325,42325,High,No,BM-116501406
CA-2015-BM11650140-42336,42336,High,No,BM-116501402
CA-2015-BM11785140-42151,42151,Medium,No,BM-117851408
CA-2015-BN11470140-42078,42078,Medium,No,BN-114701402
CA-2015-BN11515140-42249,42249,Medium,No,BN-115151406
CA-2015-BN11515140-42360,42360,High,No,BN-115151404
CA-2015-BO11350140-42038,42038,Medium,No,BO-113501404
CA-2015-BO11350140-42128,42128,Medium,No,BO-113501406
CA-2015-BO11350140-42232,42232,High,No,BO-113501402
CA-2015-BO11425140-42294,42294,Medium,No,BO-114251408
CA-2015-BP11050140-42082,42082,Medium,No,BP-110501404
CA-2015-BP11050140-42286,42286,High,No,BP-110501406
CA-2015-BP11095140-42056,42056,Medium,No,BP-110951404
CA-2015-BP11095140-42110,42110,High,No,BP-110951408
CA-2015-BP11095140-42272,42272,High,No,BP-110951406
CA-2015-BP11095140-42339,42339,Medium,No,BP-110951402
CA-2015-BP11095140-42352,42352,Medium,Yes,BP-110951406
CA-2015-BP11155140-42005,42005,Low,No,BP-111551404
CA-2015-BP11155140-42196,42196,High,No,BP-111551408
CA-2015-BP11155140-42280,42280,High,No,BP-111551406
CA-2015-BP11185140-42244,42244,Critical,No,BP-111851406
CA-2015-BP11185140-42349,42349,Medium,No,BP-111851404
CA-2015-BP11185140-42368,42368,Low,No,BP-111851404
CA-2015-BP11230140-42330,42330,High,No,BP-112301404
CA-2015-BP11290140-42014,42014,High,No,BP-112901406
CA-2015-BP11290140-42333,42333,Medium,No,BP-112901404
CA-2015-BP11290140-42357,42357,Medium,No,BP-112901406
CA-2015-BS11380140-42076,42076,High,No,BS-113801404
CA-2015-BS11380140-42325,42325,Medium,No,BS-113801406
CA-2015-BS11755140-42105,42105,Medium,No,BS-117551406
CA-2015-BS11755140-42271,42271,Medium,No,BS-117551404
CA-2015-BS11755140-42368,42368,Medium,No,BS-117551404
CA-2015-BS11800140-42104,42104,High,No,BS-118001406
CA-2015-BT11305140-42033,42033,High,No,BT-113051404
CA-2015-BT11395140-42067,42067,Medium,No,BT-113951404
CA-2015-BT11530140-42062,42062,Medium,No,BT-115301404
CA-2015-BT11530140-42278,42278,High,Yes,BT-115301404
CA-2015-BT11680140-42349,42349,High,No,BT-116801408
CA-2015-BT153023-42017,42017,High,No,BT-153023
CA-2015-BV11245140-42035,42035,Low,No,BV-112451402
CA-2015-BW106523-42182,42182,Medium,No,BW-106523
CA-2015-BW11065140-42157,42157,High,No,BW-110651406
CA-2015-BW11110140-42012,42012,Medium,No,BW-111101402
CA-2015-BW11110140-42152,42152,Low,No,BW-111101408
CA-2015-BW11110140-42248,42248,High,No,BW-111101404
CA-2015-BW11200140-42166,42166,Medium,No,BW-112001404
CA-2015-CA11965140-42031,42031,Medium,No,CA-119651408
CA-2015-CA11965140-42273,42273,Medium,No,CA-119651406
CA-2015-CA12265140-42189,42189,Low,No,CA-122651404
CA-2015-CA12265140-42270,42270,Critical,No,CA-122651406
CA-2015-CA12265140-42290,42290,High,No,CA-122651406
CA-2015-CA12265140-42297,42297,High,No,CA-122651402
CA-2015-CA12265140-42313,42313,Medium,No,CA-122651408
CA-2015-CA12310140-42356,42356,High,No,CA-123101404
CA-2015-CA12775140-42137,42137,High,No,CA-127751406
CA-2015-CA12775140-42249,42249,High,No,CA-127751402
CA-2015-CB12025140-42041,42041,Medium,No,CB-120251402
CA-2015-CB12025140-42255,42255,High,No,CB-120251406
CA-2015-CB12025140-42259,42259,High,No,CB-120251404
CA-2015-CB12415140-42060,42060,High,No,CB-124151406
CA-2015-CB12415140-42343,42343,Medium,No,CB-124151402
CA-2015-CB12535140-42069,42069,Medium,No,CB-125351408
CA-2015-CB12535140-42172,42172,Medium,No,CB-125351408
CA-2015-CC12145140-42263,42263,Medium,No,CC-121451402
CA-2015-CC12220140-42129,42129,Medium,No,CC-122201404
CA-2015-CC12220140-42182,42182,Medium,No,CC-122201406
CA-2015-CC12220140-42349,42349,High,No,CC-122201406
CA-2015-CC12370140-42315,42315,Medium,No,CC-123701402
CA-2015-CC12430140-42145,42145,High,No,CC-124301404
CA-2015-CC12430140-42281,42281,Medium,No,CC-124301406
CA-2015-CC12430140-42315,42315,High,No,CC-124301402
CA-2015-CC12430140-42369,42369,Medium,No,CC-124301402
CA-2015-CC12475140-42224,42224,Medium,No,CC-124751402
CA-2015-CC12475140-42278,42278,High,Yes,CC-124751406
CA-2015-CC12475140-42330,42330,Medium,No,CC-124751406
CA-2015-CC12550140-42171,42171,High,No,CC-125501404
CA-2015-CC12550140-42340,42340,Medium,No,CC-125501404
CA-2015-CC12550140-42342,42342,High,No,CC-125501402
CA-2015-CC12610140-42335,42335,Medium,No,CC-126101406
CA-2015-CC12670140-42174,42174,High,No,CC-126701404
CA-2015-CC12670140-42340,42340,High,No,CC-126701406
CA-2015-CD11920140-42151,42151,Medium,No,CD-119201404
CA-2015-CD11920140-42329,42329,Critical,No,CD-119201406
CA-2015-CD11980140-42315,42315,High,No,CD-119801406
CA-2015-CD12280140-42314,42314,Medium,No,CD-122801406
CA-2015-CD198023-42114,42114,Medium,No,CD-198023
CA-2015-CG12040140-42320,42320,Low,No,CG-120401402
CA-2015-CG12520140-42031,42031,Medium,No,CG-125201402
CA-2015-CJ12010140-42031,42031,Medium,No,CJ-120101404
CA-2015-CJ12010140-42091,42091,High,No,CJ-120101402
CA-2015-CJ12010140-42126,42126,Medium,No,CJ-120101408
CA-2015-CJ12010140-42180,42180,Medium,No,CJ-120101404
CA-2015-CK12205140-42137,42137,Medium,No,CK-122051406
CA-2015-CK12205140-42224,42224,High,No,CK-122051402
CA-2015-CK12205140-42235,42235,Medium,No,CK-122051406
CA-2015-CK12205140-42330,42330,High,No,CK-122051404
CA-2015-CK12325140-42053,42053,High,No,CK-123251406
CA-2015-CK12595140-42059,42059,Medium,No,CK-125951404
CA-2015-CK12595140-42323,42323,High,No,CK-125951406
CA-2015-CK12595140-42326,42326,Medium,No,CK-125951408
CA-2015-CL11890140-42263,42263,High,No,CL-118901406
CA-2015-CL12565140-42081,42081,High,No,CL-125651404
CA-2015-CL12565140-42085,42085,Medium,No,CL-125651402
CA-2015-CL12700140-42109,42109,Critical,No,CL-127001402
CA-2015-CL12700140-42264,42264,Critical,No,CL-127001408
CA-2015-CM11815140-42074,42074,High,No,CM-118151404
CA-2015-CM11815140-42153,42153,Medium,No,CM-118151404
CA-2015-CM11815140-42238,42238,Medium,No,CM-118151404
CA-2015-CM12115140-42095,42095,High,No,CM-121151406
CA-2015-CM12115140-42280,42280,Medium,No,CM-121151404
CA-2015-CM12115140-42361,42361,Critical,No,CM-121151404
CA-2015-CM12160140-42235,42235,Medium,No,CM-121601406
CA-2015-CM12160140-42299,42299,Low,No,CM-121601406
CA-2015-CM12160140-42343,42343,Medium,No,CM-121601406
CA-2015-CM12190140-42220,42220,Medium,No,CM-121901402
CA-2015-CM12190140-42361,42361,Medium,No,CM-121901402
CA-2015-CM12385140-42008,42008,Medium,No,CM-123851404
CA-2015-CM12385140-42332,42332,Medium,No,CM-123851402
CA-2015-CM12655140-42279,42279,High,No,CM-126551406
CA-2015-CM12655140-42342,42342,Medium,No,CM-126551404
CA-2015-CP12085140-42246,42246,High,No,CP-120851402
CA-2015-CP12085140-42287,42287,Critical,No,CP-120851406
CA-2015-CP12340140-42119,42119,Low,No,CP-123401408
CA-2015-CP12340140-42209,42209,Medium,No,CP-123401406
CA-2015-CR12730140-42291,42291,High,No,CR-127301406
CA-2015-CR12820140-42053,42053,Medium,No,CR-128201402
CA-2015-CR262523-42063,42063,Medium,No,CR-262523
CA-2015-CS11845140-42047,42047,High,No,CS-118451404
CA-2015-CS11845140-42278,42278,Critical,No,CS-118451404
CA-2015-CS11860140-42158,42158,High,No,CS-118601408
CA-2015-CS11860140-42198,42198,Medium,No,CS-118601406
CA-2015-CS11950140-42132,42132,High,No,CS-119501404
CA-2015-CS11950140-42206,42206,Medium,No,CS-119501402
CA-2015-CS11950140-42302,42302,Low,No,CS-119501408
CA-2015-CS12175140-42101,42101,Medium,No,CS-121751408
CA-2015-CS12175140-42137,42137,Medium,No,CS-121751404
CA-2015-CS12250140-42028,42028,Medium,No,CS-122501404
CA-2015-CS12250140-42286,42286,Medium,No,CS-122501404
CA-2015-CS12250140-42332,42332,Medium,No,CS-122501402
CA-2015-CS12250140-42343,42343,High,No,CS-122501404
CA-2015-CS12355140-42109,42109,Medium,No,CS-123551406
CA-2015-CS12355140-42172,42172,Medium,No,CS-123551406
CA-2015-CS12355140-42193,42193,High,No,CS-123551406
CA-2015-CS12355140-42321,42321,Medium,No,CS-123551404
CA-2015-CS12355140-42326,42326,Low,No,CS-123551408
CA-2015-CS12355140-42363,42363,Medium,No,CS-123551408
CA-2015-CS12400140-42253,42253,High,No,CS-124001404
CA-2015-CS12400140-42263,42263,Medium,No,CS-124001404
CA-2015-CS12400140-42367,42367,Medium,No,CS-124001402
CA-2015-CS12460140-42342,42342,Medium,No,CS-124601406
CA-2015-CS195023-42133,42133,Medium,No,CS-195023
CA-2015-CT11995140-42160,42160,Medium,No,CT-119951402
CA-2015-CT11995140-42185,42185,Medium,No,CT-119951404
CA-2015-CT11995140-42273,42273,High,No,CT-119951402
CA-2015-CV12295140-42115,42115,Medium,No,CV-122951402
CA-2015-CV12805140-42025,42025,Medium,Yes,CV-128051406
CA-2015-CV12805140-42054,42054,High,No,CV-128051404
CA-2015-CV12805140-42115,42115,Medium,No,CV-128051406
CA-2015-CV12805140-42122,42122,Medium,No,CV-128051402
CA-2015-CV12805140-42157,42157,Medium,No,CV-128051402
CA-2015-CV12805140-42252,42252,High,No,CV-128051404
CA-2015-CV12805140-42364,42364,Medium,No,CV-128051406
CA-2015-CW11905140-42138,42138,Medium,Yes,CW-119051406
CA-2015-CW11905140-42347,42347,High,No,CW-119051406
CA-2015-CY12745140-42262,42262,Medium,No,CY-127451406
CA-2015-CY12745140-42264,42264,High,No,CY-127451404
CA-2015-CY12745140-42309,42309,Medium,No,CY-127451402
CA-2015-DB12910140-42259,42259,High,No,DB-129101408
CA-2015-DB12910140-42341,42341,High,No,DB-129101408
CA-2015-DB12910140-42348,42348,High,No,DB-129101404
CA-2015-DB12970140-42128,42128,Medium,No,DB-129701404
CA-2015-DB13060140-42062,42062,Medium,No,DB-130601404
CA-2015-DB13060140-42263,42263,Medium,No,DB-130601402
CA-2015-DB13060140-42353,42353,High,No,DB-130601402
CA-2015-DB13120140-42321,42321,Medium,No,DB-131201404
CA-2015-DB13210140-42285,42285,Medium,No,DB-132101402
CA-2015-DB13210140-42348,42348,Medium,No,DB-132101402
CA-2015-DB13210140-42360,42360,Low,No,DB-132101406
CA-2015-DB13270140-42175,42175,Medium,No,DB-132701402
CA-2015-DB13270140-42316,42316,Medium,No,DB-132701404
CA-2015-DB13360140-42105,42105,Medium,No,DB-133601406
CA-2015-DB13405140-42081,42081,Medium,No,DB-134051406
CA-2015-DB13405140-42182,42182,High,No,DB-134051402
CA-2015-DB13555140-42066,42066,Medium,No,DB-135551406
CA-2015-DB13555140-42256,42256,Medium,No,DB-135551406
CA-2015-DB13555140-42262,42262,High,No,DB-135551408
CA-2015-DB13615140-42131,42131,High,No,DB-136151404
CA-2015-DB13615140-42269,42269,High,No,DB-136151404
CA-2015-DB13615140-42336,42336,Medium,No,DB-136151408
CA-2015-DB13660140-42064,42064,Medium,No,DB-136601406
CA-2015-DB13660140-42089,42089,Medium,No,DB-136601402
CA-2015-DB13660140-42271,42271,Medium,No,DB-136601404
CA-2015-DB13660140-42357,42357,Medium,No,DB-136601406
CA-2015-DB312023-42011,42011,Medium,No,DB-312023
CA-2015-DC12850140-42160,42160,Medium,No,DC-128501408
CA-2015-DC12850140-42230,42230,Medium,No,DC-128501408
CA-2015-DC12850140-42266,42266,Medium,No,DC-128501402
CA-2015-DC12850140-42332,42332,Critical,No,DC-128501402
CA-2015-DC13285140-42285,42285,Medium,No,DC-132851404
CA-2015-DC285023-42335,42335,Medium,No,DC-285023
CA-2015-DD13570140-42127,42127,Medium,No,DD-135701404
CA-2015-DD13570140-42211,42211,High,No,DD-135701406
CA-2015-DD13570140-42328,42328,Medium,No,DD-135701408
CA-2015-DG13300140-42337,42337,Medium,No,DG-133001406
CA-2015-DJ13510140-42125,42125,High,No,DJ-135101404
CA-2015-DJ13510140-42133,42133,Medium,No,DJ-135101406
CA-2015-DJ13510140-42260,42260,High,No,DJ-135101406
CA-2015-DJ13510140-42312,42312,High,No,DJ-135101408
CA-2015-DJ13630140-42357,42357,Medium,No,DJ-136301406
CA-2015-DK12835140-42119,42119,Critical,No,DK-128351406
CA-2015-DK12835140-42191,42191,Critical,No,DK-128351402
CA-2015-DK12835140-42257,42257,Medium,No,DK-128351404
CA-2015-DK12835140-42299,42299,High,No,DK-128351404
CA-2015-DK12835140-42348,42348,Medium,No,DK-128351402
CA-2015-DK12895140-42229,42229,Medium,No,DK-128951404
CA-2015-DK12895140-42244,42244,Medium,No,DK-128951408
CA-2015-DK12895140-42324,42324,Medium,No,DK-128951408
CA-2015-DK12985140-42362,42362,High,No,DK-129851408
CA-2015-DK13090140-42057,42057,Medium,No,DK-130901402
CA-2015-DK13090140-42279,42279,Medium,Yes,DK-130901402
CA-2015-DK13090140-42312,42312,Medium,No,DK-130901408
CA-2015-DK13090140-42327,42327,High,No,DK-130901406
CA-2015-DK13150140-42359,42359,Medium,No,DK-131501406
CA-2015-DK13225140-42185,42185,Medium,No,DK-132251404
CA-2015-DK13225140-42359,42359,Medium,No,DK-132251406
CA-2015-DK13375140-42213,42213,Medium,No,DK-133751404
CA-2015-DK13375140-42321,42321,High,No,DK-133751406
CA-2015-DK13375140-42350,42350,High,No,DK-133751402
CA-2015-DL12865140-42024,42024,Medium,No,DL-128651402
CA-2015-DL12925140-42312,42312,Low,No,DL-129251402
CA-2015-DL13315140-42334,42334,Medium,No,DL-133151408
CA-2015-DL13315140-42347,42347,Medium,No,DL-133151406
CA-2015-DL13330140-42312,42312,Medium,No,DL-133301404
CA-2015-DL13495140-42125,42125,Medium,No,DL-134951406
CA-2015-DL13495140-42238,42238,High,No,DL-134951404
CA-2015-DL13495140-42293,42293,Medium,No,DL-134951404
CA-2015-Dl13600140-42250,42250,Medium,No,Dl-136001406
CA-2015-DM12955140-42255,42255,High,No,DM-129551408
CA-2015-DM13015140-42241,42241,High,No,DM-130151406
CA-2015-DM13015140-42312,42312,Medium,No,DM-130151406
CA-2015-DM13345140-42103,42103,Low,No,DM-133451408
CA-2015-DM13345140-42347,42347,Low,Yes,DM-133451404
CA-2015-DM352523-42046,42046,Critical,No,DM-352523
CA-2015-DN13690140-42152,42152,Medium,No,DN-136901402
CA-2015-DO13435140-42095,42095,Medium,No,DO-134351406
CA-2015-DO13435140-42158,42158,Medium,No,DO-134351404
CA-2015-DO13435140-42182,42182,Medium,No,DO-134351406
CA-2015-DO13645140-42236,42236,High,No,DO-136451406
CA-2015-DO13645140-42263,42263,Critical,Yes,DO-136451404
CA-2015-DO13645140-42271,42271,Critical,No,DO-136451408
CA-2015-DO13645140-42336,42336,Medium,No,DO-136451404
CA-2015-DO13645140-42343,42343,Medium,Yes,DO-136451406
CA-2015-DO364523-42241,42241,Medium,No,DO-364523
CA-2015-DP13000140-42068,42068,Medium,No,DP-130001402
CA-2015-DP13000140-42243,42243,Medium,No,DP-130001402
CA-2015-DP13105140-42108,42108,Medium,No,DP-131051406
CA-2015-DP13105140-42267,42267,Medium,No,DP-131051404
CA-2015-DP13105140-42356,42356,Medium,No,DP-131051402
CA-2015-DP13105140-42363,42363,Medium,No,DP-131051404
CA-2015-Dp13240140-42171,42171,Medium,No,Dp-132401402
CA-2015-Dp13240140-42255,42255,High,No,Dp-132401404
CA-2015-Dp13240140-42263,42263,Low,No,Dp-132401406
CA-2015-Dp13240140-42285,42285,High,No,Dp-132401408
CA-2015-DP13390140-42006,42006,High,No,DP-133901402
CA-2015-DP13390140-42011,42011,Low,No,DP-133901408
CA-2015-Dp324023-42181,42181,Critical,No,Dp-324023
CA-2015-Dp324023-42344,42344,High,No,Dp-324023
CA-2015-DP339023-42269,42269,High,No,DP-339023
CA-2015-DR12880140-42182,42182,High,No,DR-128801408
CA-2015-DR12880140-42185,42185,Medium,No,DR-128801406
CA-2015-DR12880140-42244,42244,Medium,No,DR-128801404
CA-2015-DR12880140-42366,42366,Medium,No,DR-128801406
CA-2015-DR12940140-42228,42228,Medium,No,DR-129401408
CA-2015-DR12940140-42319,42319,High,No,DR-129401408
CA-2015-DS13030140-42026,42026,High,No,DS-130301404
CA-2015-DS13030140-42099,42099,Medium,No,DS-130301406
CA-2015-DS13180140-42095,42095,High,No,DS-131801402
CA-2015-DS13180140-42346,42346,Medium,No,DS-131801402
CA-2015-DV13045140-42186,42186,Medium,No,DV-130451408
CA-2015-DV13045140-42343,42343,High,No,DV-130451406
CA-2015-DV13045140-42350,42350,Medium,Yes,DV-130451408
CA-2015-DV13465140-42340,42340,Medium,No,DV-134651404
CA-2015-DW13195140-42300,42300,Medium,No,DW-131951404
CA-2015-DW13540140-42070,42070,Medium,No,DW-135401402
CA-2015-DW13540140-42242,42242,High,No,DW-135401408
CA-2015-DW13540140-42271,42271,Critical,No,DW-135401404
CA-2015-DW13585140-42127,42127,High,No,DW-135851406
CA-2015-DW358523-42222,42222,High,No,DW-358523
CA-2015-EA14035140-42125,42125,Medium,No,EA-140351404
CA-2015-EA14035140-42217,42217,Medium,No,EA-140351406
CA-2015-EB13705140-42133,42133,Medium,No,EB-137051402
CA-2015-EB13705140-42298,42298,Medium,No,EB-137051406
CA-2015-EB13705140-42321,42321,High,Yes,EB-137051406
CA-2015-EB13750140-42111,42111,High,Yes,EB-137501408
CA-2015-EB13750140-42319,42319,Medium,No,EB-137501402
CA-2015-EB13750140-42334,42334,Medium,No,EB-137501404
CA-2015-EB13840140-42279,42279,Medium,No,EB-138401404
CA-2015-EB13870140-42035,42035,Medium,No,EB-138701408
CA-2015-EB13870140-42074,42074,Medium,No,EB-138701406
